Trip ID,Pick Date,Vehicle,Payment_type,No. of passenger_count,Trip Distance,Pickup Location,Booking Value,Total Bookings,Year,Quarter,Month,Day
2928,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.72,Little Italy/NoLiTa,$23.0,1.0,1899,Qtr 4,December,30
2929,2024-06-01 00:00:00,UberX,Uber Pay,3,3.68,Central Harlem,$18.2,1.0,1899,Qtr 4,December,30
2930,2024-06-01 00:00:00,Uber Black,Cash,1,3.69,Upper East Side South,$13.5,1.0,1899,Qtr 4,December,30
2931,2024-06-01 00:00:00,UberX,Cash,1,3.7,Lenox Hill West,$13.0,1.0,1899,Qtr 4,December,30
2932,2024-06-01 00:00:00,UberX,Cash,1,5.29,Manhattan Valley,$18.0,1.0,1899,Qtr 4,December,30
2933,2024-06-01 00:00:00,Uber Black,Uber Pay,1,5.82,Lenox Hill East,$23.9,1.0,1899,Qtr 4,December,30
2935,2024-06-01 00:00:00,UberX,Uber Pay,4,3.99,Garment District,$14.0,1.0,1899,Qtr 4,December,30
2936,2024-06-01 00:00:00,Uber Green,Uber Pay,3,1.9,Clinton East,$10.4,1.0,1899,Qtr 4,December,30
2937,2024-06-01 00:00:00,Uber Comfort,Cash,1,16.93,Clinton West,$55.5,1.0,1899,Qtr 4,December,30
2938,2024-06-01 00:00:00,UberX,Uber Pay,1,10,LaGuardia Airport,$30.0,1.0,1899,Qtr 4,December,30
2939,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.6,Lincoln Square East,$10.0,1.0,1899,Qtr 4,December,30
2940,2024-06-01 00:00:00,UberX,Cash,3,1.12,Clinton East,$6.0,1.0,1899,Qtr 4,December,30
2941,2024-06-01 00:00:00,Uber Black,Cash,1,1.03,Clinton East,$6.0,1.0,1899,Qtr 4,December,30
2942,2024-06-01 00:00:00,UberXL,Uber Pay,1,2.3,Central Park,$11.0,1.0,1899,Qtr 4,December,30
2943,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.7,Murray Hill,$15.5,1.0,1899,Qtr 4,December,30
2944,2024-06-01 00:00:00,UberX,Uber Pay,1,7.27,Union Sq,$30.0,1.0,1899,Qtr 4,December,30
2945,2024-06-01 00:00:00,UberX,Uber Pay,1,4.51,Clinton East,$21.8,1.0,1899,Qtr 4,December,30
2946,2024-06-01 00:00:00,UberX,Uber Pay,1,6.29,Central Park,$26.0,1.0,1899,Qtr 4,December,30
2947,2024-06-01 00:00:00,UberXL,Uber Pay,1,7.9,Flatiron,$32.3,1.0,1899,Qtr 4,December,30
2948,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.66,Upper West Side South,$10.5,1.0,1899,Qtr 4,December,30
2949,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.36,Lenox Hill West,$16.0,1.0,1899,Qtr 4,December,30
2950,2024-06-01 00:00:00,UberX,Uber Pay,2,2.1,Lenox Hill East,$9.5,1.0,1899,Qtr 4,December,30
2952,2024-06-01 00:00:00,Uber Green,Uber Pay,1,4.12,Two Bridges/Seward Park,$20.0,1.0,1899,Qtr 4,December,30
2954,2024-06-01 00:00:00,Uber Black,Uber Pay,1,8.7,East Chelsea,$32.0,1.0,1899,Qtr 4,December,30
2956,2024-06-01 00:00:00,Uber Comfort,Cash,1,5.2,East Harlem South,$19.0,1.0,1899,Qtr 4,December,30
2958,2024-06-01 00:00:00,UberX,Cash,6,1.33,Central Harlem,$6.5,1.0,1899,Qtr 4,December,30
2959,2024-06-01 00:00:00,UberXL,Uber Pay,6,2.72,Upper West Side North,$12.8,1.0,1899,Qtr 4,December,30
2960,2024-06-01 00:00:00,UberX,Cash,2,6.4,Lenox Hill West,$22.5,1.0,1899,Qtr 4,December,30
2961,2024-06-01 00:00:00,UberXL,Uber Pay,1,3.33,Hamilton Heights,$16.6,1.0,1899,Qtr 4,December,30
2962,2024-06-01 00:00:00,UberXL,Uber Pay,3,1.1,Upper East Side South,$7.8,1.0,1899,Qtr 4,December,30
2963,2024-06-01 00:00:00,UberXL,Uber Pay,5,2.1,Kips Bay,$9.5,1.0,1899,Qtr 4,December,30
2965,2024-06-01 00:00:00,UberX,Uber Pay,1,2.7,West Village,$13.0,1.0,1899,Qtr 4,December,30
2967,2024-06-01 00:00:00,UberXL,Cash,1,11.57,JFK Airport,$35.5,1.0,1899,Qtr 4,December,30
2968,2024-06-01 00:00:00,UberX,Uber Pay,1,1.62,Upper East Side North,$9.8,1.0,1899,Qtr 4,December,30
2969,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,6.83,Morningside Heights,$23.5,1.0,1899,Qtr 4,December,30
2970,2024-06-01 00:00:00,Uber Green,Cash,2,12.36,Clinton West,$36.0,1.0,1899,Qtr 4,December,30
2971,2024-06-01 00:00:00,Uber Black,Cash,3,5.2,Upper West Side North,$17.0,1.0,1899,Qtr 4,December,30
2972,2024-06-01 00:00:00,Uber Black,Uber Pay,1,5.9,Clinton East,$24.2,1.0,1899,Qtr 4,December,30
2973,2024-06-01 00:00:00,Uber Green,Uber Pay,1,13.6,Flatiron,$54.4,1.0,1899,Qtr 4,December,30
2974,2024-06-01 00:00:00,Uber Black,Uber Pay,1,27.01,Lincoln Square East,$74.5,1.0,1899,Qtr 4,December,30
2975,2024-06-01 00:00:00,UberXL,Uber Pay,2,3.54,Clinton East,$17.0,1.0,1899,Qtr 4,December,30
2976,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.54,Upper East Side South,$9.2,1.0,1899,Qtr 4,December,30
2977,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,13.11,Upper East Side North,$50.6,1.0,1899,Qtr 4,December,30
2978,2024-06-01 00:00:00,UberXL,Cash,2,1.76,Penn Station/Madison Sq West,$10.0,1.0,1899,Qtr 4,December,30
2979,2024-06-01 00:00:00,Uber Black,Uber Pay,1,4.05,Kips Bay,$17.8,1.0,1899,Qtr 4,December,30
2981,2024-06-01 00:00:00,UberX,Uber Pay,1,7.5,Upper West Side South,$27.2,1.0,1899,Qtr 4,December,30
2983,2024-06-01 00:00:00,UberX,Uber Pay,1,2.93,West Concourse,$11.5,1.0,1899,Qtr 4,December,30
2984,2024-06-01 00:00:00,Uber Green,Uber Pay,1,24.79,East Harlem South,$78.0,1.0,1899,Qtr 4,December,30
2985,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.49,East Village,$9.5,1.0,1899,Qtr 4,December,30
2986,2024-06-01 00:00:00,UberXL,Uber Pay,2,2.31,Sutton Place/Turtle Bay North,$9.5,1.0,1899,Qtr 4,December,30
2987,2024-06-01 00:00:00,Uber Comfort,Cash,1,6.93,East Harlem South,$21.5,1.0,1899,Qtr 4,December,30
2988,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.24,Park Slope,$14.7,1.0,1899,Qtr 4,December,30
2989,2024-06-01 00:00:00,Uber Black,Cash,1,1.83,Kips Bay,$8.0,1.0,1899,Qtr 4,December,30
2990,2024-06-01 00:00:00,Uber Green,Cash,1,11.69,Gramercy,$38.0,1.0,1899,Qtr 4,December,30
2991,2024-06-01 00:00:00,UberXL,Cash,1,1.4,Greenwich Village North,$9.0,1.0,1899,Qtr 4,December,30
2992,2024-06-01 00:00:00,Uber Green,Uber Pay,1,8.45,Kips Bay,$25.0,1.0,1899,Qtr 4,December,30
2993,2024-06-01 00:00:00,UberX,Uber Pay,1,7.57,Washington Heights South,$29.7,1.0,1899,Qtr 4,December,30
2994,2024-06-01 00:00:00,Uber Comfort,Cash,1,12.61,Upper East Side South,$36.0,1.0,1899,Qtr 4,December,30
2995,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.52,East Harlem South,$9.5,1.0,1899,Qtr 4,December,30
2996,2024-06-01 00:00:00,UberX,Cash,1,3.08,Flushing,$13.5,1.0,1899,Qtr 4,December,30
2997,2024-06-01 00:00:00,UberXL,Uber Pay,1,3.03,Lenox Hill East,$16.6,1.0,1899,Qtr 4,December,30
2998,2024-06-01 00:00:00,UberXL,Uber Pay,1,8.7,East Harlem North,$27.5,1.0,1899,Qtr 4,December,30
2999,2024-06-01 00:00:00,UberXL,Cash,1,1.7,East Harlem South,$8.0,1.0,1899,Qtr 4,December,30
3001,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.7,Upper East Side South,$14.6,1.0,1899,Qtr 4,December,30
3002,2024-06-01 00:00:00,Uber Black,Cash,1,6.41,Manhattanville,$20.0,1.0,1899,Qtr 4,December,30
3003,2024-06-01 00:00:00,UberX,Cash,1,4.1,Lenox Hill East,$15.5,1.0,1899,Qtr 4,December,30
3005,2024-06-01 00:00:00,Uber Green,Uber Pay,2,9.41,Crown Heights North,$36.4,1.0,1899,Qtr 4,December,30
3006,2024-06-01 00:00:00,UberX,Uber Pay,1,4.35,Yorkville West,$23.0,1.0,1899,Qtr 4,December,30
3007,2024-06-01 00:00:00,UberXL,Cash,1,2,Central Harlem,$8.5,1.0,1899,Qtr 4,December,30
3008,2024-06-01 00:00:00,Uber Green,Cash,1,1.9,Yorkville West,$8.5,1.0,1899,Qtr 4,December,30
3010,2024-06-01 00:00:00,Uber Comfort,Cash,1,4.36,East Village,$14.5,1.0,1899,Qtr 4,December,30
3011,2024-06-01 00:00:00,Uber Black,Uber Pay,2,2.5,Penn Station/Madison Sq West,$11.0,1.0,1899,Qtr 4,December,30
3012,2024-06-01 00:00:00,UberX,Cash,2,1.97,Kips Bay,$8.0,1.0,1899,Qtr 4,December,30
3013,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.18,Alphabet City,$16.0,1.0,1899,Qtr 4,December,30
3014,2024-06-01 00:00:00,UberXL,Uber Pay,2,1.09,Central Harlem,$14.0,1.0,1899,Qtr 4,December,30
3015,2024-06-01 00:00:00,UberXL,Uber Pay,1,3.61,Lenox Hill West,$15.5,1.0,1899,Qtr 4,December,30
3016,2024-06-01 00:00:00,Uber Comfort,Cash,1,7.5,Yorkville West,$23.5,1.0,1899,Qtr 4,December,30
3017,2024-06-01 00:00:00,UberX,Uber Pay,1,1.82,East Harlem South,$8.0,1.0,1899,Qtr 4,December,30
3018,2024-06-01 00:00:00,UberXL,Cash,1,17.56,JFK Airport,$47.0,1.0,1899,Qtr 4,December,30
3019,2024-06-01 00:00:00,Uber Black,Uber Pay,1,4.34,East Chelsea,$21.8,1.0,1899,Qtr 4,December,30
3020,2024-06-01 00:00:00,Uber Black,Uber Pay,1,15.7,Union Sq,$45.5,1.0,1899,Qtr 4,December,30
3022,2024-06-01 00:00:00,Uber Comfort,Uber Pay,2,2.33,Bloomingdale,$13.5,1.0,1899,Qtr 4,December,30
3024,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,8.62,LaGuardia Airport,$31.5,1.0,1899,Qtr 4,December,30
3025,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.12,Manhattanville,$13.0,1.0,1899,Qtr 4,December,30
3026,2024-06-01 00:00:00,Uber Black,Uber Pay,1,7,Financial District South,$26.6,1.0,1899,Qtr 4,December,30
3027,2024-06-01 00:00:00,Uber Green,Cash,1,5.17,Clinton East,$21.5,1.0,1899,Qtr 4,December,30
3028,2024-06-01 00:00:00,Uber Green,Uber Pay,1,2.85,East Harlem North,$12.5,1.0,1899,Qtr 4,December,30
3029,2024-06-01 00:00:00,Uber Comfort,Cash,2,9.59,Clinton West,$30.0,1.0,1899,Qtr 4,December,30
3030,2024-06-01 00:00:00,Uber Green,Uber Pay,1,4.09,West Village,$19.4,1.0,1899,Qtr 4,December,30
3032,2024-06-01 00:00:00,Uber Black,Cash,1,4.8,Garment District,$19.0,1.0,1899,Qtr 4,December,30
3033,2024-06-01 00:00:00,Uber Comfort,Cash,1,8.01,Financial District South,$24.5,1.0,1899,Qtr 4,December,30
3034,2024-06-01 00:00:00,UberXL,Cash,1,2.53,Fort Greene,$11.5,1.0,1899,Qtr 4,December,30
3035,2024-06-01 00:00:00,Uber Black,Uber Pay,1,14.69,Steinway,$47.7,1.0,1899,Qtr 4,December,30
3036,2024-06-01 00:00:00,UberX,Uber Pay,1,1.8,Garment District,$9.5,1.0,1899,Qtr 4,December,30
3037,2024-06-01 00:00:00,UberX,Cash,1,1.61,Yorkville West,$7.5,1.0,1899,Qtr 4,December,30
3038,2024-06-01 00:00:00,UberXL,Uber Pay,1,4.62,East Harlem North,$15.5,1.0,1899,Qtr 4,December,30
3039,2024-06-01 00:00:00,UberXL,Cash,1,7.18,Murray Hill,$23.0,1.0,1899,Qtr 4,December,30
3040,2024-06-01 00:00:00,Uber Green,Uber Pay,1,8.68,Elmhurst,$36.1,1.0,1899,Qtr 4,December,30
3041,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.23,NV,$11.0,1.0,1899,Qtr 4,December,30
3042,2024-06-01 00:00:00,Uber Comfort,Uber Pay,2,3.18,Midtown South,$13.0,1.0,1899,Qtr 4,December,30
3043,2024-06-01 00:00:00,Uber Comfort,Cash,6,3.77,Lincoln Square East,$13.0,1.0,1899,Qtr 4,December,30
3045,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.85,Central Harlem,$15.3,1.0,1899,Qtr 4,December,30
3046,2024-06-01 00:00:00,UberXL,Uber Pay,2,2.25,East Harlem North,$10.5,1.0,1899,Qtr 4,December,30
3047,2024-06-01 00:00:00,UberX,Cash,2,2.06,Long Island City/Queens Plaza,$8.5,1.0,1899,Qtr 4,December,30
3049,2024-06-01 00:00:00,Uber Black,Cash,1,2.51,Upper East Side North,$11.0,1.0,1899,Qtr 4,December,30
3050,2024-06-01 00:00:00,UberXL,Cash,1,13.24,East Village,$37.0,1.0,1899,Qtr 4,December,30
3051,2024-06-01 00:00:00,Uber Green,Uber Pay,2,3.5,Gramercy,$16.0,1.0,1899,Qtr 4,December,30
3052,2024-06-01 00:00:00,UberX,Cash,2,3.41,Lenox Hill East,$12.0,1.0,1899,Qtr 4,December,30
3053,2024-06-01 00:00:00,Uber Black,Cash,1,1.5,Central Harlem,$7.5,1.0,1899,Qtr 4,December,30
3054,2024-06-01 00:00:00,UberX,Cash,1,2.4,Central Harlem North,$11.0,1.0,1899,Qtr 4,December,30
3055,2024-06-01 00:00:00,UberXL,Cash,2,5.57,Bedford,$20.5,1.0,1899,Qtr 4,December,30
3056,2024-06-01 00:00:00,Uber Black,Cash,1,2.84,NV,$11.0,1.0,1899,Qtr 4,December,30
3059,2024-06-01 00:00:00,UberX,Uber Pay,1,4.01,Gramercy,$18.2,1.0,1899,Qtr 4,December,30
3060,2024-06-01 00:00:00,UberXL,Uber Pay,1,4.05,Lincoln Square East,$21.2,1.0,1899,Qtr 4,December,30
3061,2024-06-01 00:00:00,Uber Green,Cash,2,13.14,Lenox Hill West,$36.0,1.0,1899,Qtr 4,December,30
3062,2024-06-01 00:00:00,Uber Black,Cash,1,2.95,Kips Bay,$9.5,1.0,1899,Qtr 4,December,30
3063,2024-06-01 00:00:00,UberXL,Uber Pay,1,3.66,Lenox Hill West,$16.4,1.0,1899,Qtr 4,December,30
3064,2024-06-01 00:00:00,Uber Green,Uber Pay,1,2.1,Washington Heights North,$14.5,1.0,1899,Qtr 4,December,30
3065,2024-06-01 00:00:00,Uber Comfort,Uber Pay,2,3,East Village,$17.6,1.0,1899,Qtr 4,December,30
3066,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.92,TriBeCa/Civic Center,$12.5,1.0,1899,Qtr 4,December,30
3067,2024-06-01 00:00:00,Uber Green,Uber Pay,4,9.3,Murray Hill,$36.8,1.0,1899,Qtr 4,December,30
3068,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.1,Yorkville East,$9.2,1.0,1899,Qtr 4,December,30
3069,2024-06-01 00:00:00,Uber Green,Uber Pay,1,6,Murray Hill,$24.5,1.0,1899,Qtr 4,December,30
3070,2024-06-01 00:00:00,UberX,Uber Pay,1,3.2,UN/Turtle Bay South,$14.8,1.0,1899,Qtr 4,December,30
3071,2024-06-01 00:00:00,UberX,Cash,2,1.64,Lenox Hill East,$6.5,1.0,1899,Qtr 4,December,30
3072,2024-06-01 00:00:00,UberX,Cash,2,2.7,Melrose South,$13.5,1.0,1899,Qtr 4,December,30
3073,2024-06-01 00:00:00,Uber Comfort,Cash,2,2.3,East Tremont,$10.5,1.0,1899,Qtr 4,December,30
3076,2024-06-01 00:00:00,Uber Green,Cash,1,21.1,West Village,$60.0,1.0,1899,Qtr 4,December,30
3077,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,6.5,Kips Bay,$21.5,1.0,1899,Qtr 4,December,30
3078,2024-06-01 00:00:00,UberX,Cash,3,3.7,Central Harlem,$18.5,1.0,1899,Qtr 4,December,30
3079,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.31,Union Sq,$14.8,1.0,1899,Qtr 4,December,30
3080,2024-06-01 00:00:00,UberX,Uber Pay,1,1.2,Lenox Hill East,$8.0,1.0,1899,Qtr 4,December,30
3082,2024-06-01 00:00:00,UberX,Cash,1,3.92,Inwood,$15.0,1.0,1899,Qtr 4,December,30
3083,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.24,Central Harlem North,$14.0,1.0,1899,Qtr 4,December,30
3084,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.6,Lenox Hill West,$9.1,1.0,1899,Qtr 4,December,30
3085,2024-06-01 00:00:00,UberX,Uber Pay,1,7.33,Midtown East,$52.8,1.0,1899,Qtr 4,December,30
3086,2024-06-01 00:00:00,UberXL,Uber Pay,1,10.9,East Harlem South,$36.5,1.0,1899,Qtr 4,December,30
3087,2024-06-01 00:00:00,UberX,Cash,2,2.32,East Harlem South,$8.5,1.0,1899,Qtr 4,December,30
3088,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.7,West Village,$13.5,1.0,1899,Qtr 4,December,30
3089,2024-06-01 00:00:00,Uber Black,Uber Pay,2,1.14,Upper East Side North,$7.7,1.0,1899,Qtr 4,December,30
3090,2024-06-01 00:00:00,Uber Comfort,Cash,1,1.1,East Harlem North,$7.0,1.0,1899,Qtr 4,December,30
3092,2024-06-01 00:00:00,UberXL,Cash,1,1.52,Upper West Side South,$8.0,1.0,1899,Qtr 4,December,30
3093,2024-06-01 00:00:00,UberX,Cash,1,1.95,Manhattanville,$8.0,1.0,1899,Qtr 4,December,30
3094,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.53,Hamilton Heights,$12.7,1.0,1899,Qtr 4,December,30
3096,2024-06-01 00:00:00,UberX,Uber Pay,2,1.1,Kips Bay,$8.5,1.0,1899,Qtr 4,December,30
3097,2024-06-01 00:00:00,UberXL,Amazon Pay,2,10.9,JFK Airport,$30.0,1.0,1899,Qtr 4,December,30
3098,2024-06-01 00:00:00,Uber Comfort,Uber Pay,2,1.99,Morrisania/Melrose,$10.6,1.0,1899,Qtr 4,December,30
3099,2024-06-01 00:00:00,UberX,Cash,1,6.56,Clinton East,$22.0,1.0,1899,Qtr 4,December,30
3100,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.7,Downtown Brooklyn/MetroTech,$20.5,1.0,1899,Qtr 4,December,30
3101,2024-06-01 00:00:00,Uber Comfort,Cash,1,3.82,Hamilton Heights,$13.0,1.0,1899,Qtr 4,December,30
3102,2024-06-01 00:00:00,Uber Black,Cash,2,5.87,East Harlem South,$17.0,1.0,1899,Qtr 4,December,30
3103,2024-06-01 00:00:00,Uber Green,Uber Pay,1,3.5,Upper West Side North,$17.0,1.0,1899,Qtr 4,December,30
3104,2024-06-01 00:00:00,UberX,Cash,2,19.41,JFK Airport,$53.5,1.0,1899,Qtr 4,December,30
3105,2024-06-01 00:00:00,UberX,Uber Pay,5,1.9,Kips Bay,$11.6,1.0,1899,Qtr 4,December,30
3106,2024-06-01 00:00:00,Uber Comfort,Uber Pay,5,6.69,Sutton Place/Turtle Bay North,$25.3,1.0,1899,Qtr 4,December,30
3107,2024-06-01 00:00:00,Uber Comfort,Cash,1,1.29,Prospect Park,$6.5,1.0,1899,Qtr 4,December,30
3108,2024-06-01 00:00:00,Uber Green,Cash,1,3,East Harlem North,$11.5,1.0,1899,Qtr 4,December,30
3109,2024-06-02 00:00:00,Uber Black,Uber Pay,1,1.68,Central Park,$8.0,1.0,1899,Qtr 4,December,30
3110,2024-06-02 00:00:00,Uber Black,Cash,1,2.18,East Chelsea,$10.5,1.0,1899,Qtr 4,December,30
3111,2024-06-02 00:00:00,Uber Comfort,Uber Pay,1,2.99,Lincoln Square West,$18.7,1.0,1899,Qtr 4,December,30
3113,2024-06-02 00:00:00,Uber Comfort,Uber Pay,1,4,East Harlem South,$15.0,1.0,1899,Qtr 4,December,30
3114,2024-06-02 00:00:00,Uber Green,Uber Pay,4,2.91,East Village,$14.8,1.0,1899,Qtr 4,December,30
3115,2024-06-02 00:00:00,Uber Black,Uber Pay,1,4.73,Westchester Village/Unionport,$18.5,1.0,1899,Qtr 4,December,30
3116,2024-06-02 00:00:00,UberX,Uber Pay,1,5.3,Kips Bay,$23.9,1.0,1899,Qtr 4,December,30
3117,2024-06-02 00:00:00,Uber Black,Amazon Pay,1,1.5,East Harlem South,$8.5,1.0,1899,Qtr 4,December,30
3118,2024-06-02 00:00:00,Uber Comfort,Uber Pay,1,2.8,Downtown Brooklyn/MetroTech,$14.7,1.0,1899,Qtr 4,December,30
3119,2024-06-02 00:00:00,UberXL,Cash,1,1.49,Little Italy/NoLiTa,$7.5,1.0,1899,Qtr 4,December,30
3120,2024-06-02 00:00:00,Uber Green,Uber Pay,1,4.89,Kips Bay,$27.8,1.0,1899,Qtr 4,December,30
3121,2024-06-02 00:00:00,UberXL,Uber Pay,1,1.56,Prospect-Lefferts Gardens,$10.8,1.0,1899,Qtr 4,December,30
3122,2024-06-02 00:00:00,UberX,Uber Pay,1,7.85,Clinton West,$34.4,1.0,1899,Qtr 4,December,30
3123,2024-06-02 00:00:00,Uber Comfort,Uber Pay,1,3.54,Prospect-Lefferts Gardens,$15.5,1.0,1899,Qtr 4,December,30
3125,2024-06-02 00:00:00,Uber Comfort,Cash,3,4.02,Flatbush/Ditmas Park,$15.5,1.0,1899,Qtr 4,December,30
3126,2024-06-02 00:00:00,UberX,Cash,2,1.67,East Harlem North,$6.5,1.0,1899,Qtr 4,December,30
3127,2024-06-02 00:00:00,UberX,Cash,1,5.86,East Harlem North,$17.5,1.0,1899,Qtr 4,December,30
3128,2024-06-02 00:00:00,UberX,Uber Pay,1,7.06,Central Harlem North,$24.5,1.0,1899,Qtr 4,December,30
3129,2024-06-02 00:00:00,UberX,Uber Pay,1,5.43,Chinatown,$23.6,1.0,1899,Qtr 4,December,30
3130,2024-06-02 00:00:00,Uber Comfort,Cash,1,1.22,Central Harlem,$6.5,1.0,1899,Qtr 4,December,30
3132,2024-06-02 00:00:00,UberXL,Cash,2,3.62,Sutton Place/Turtle Bay North,$13.5,1.0,1899,Qtr 4,December,30
3133,2024-06-02 00:00:00,Uber Black,Uber Pay,1,1.31,Lenox Hill West,$8.0,1.0,1899,Qtr 4,December,30
3134,2024-06-02 00:00:00,UberX,Uber Pay,1,1.66,East Chelsea,$27.5,1.0,1899,Qtr 4,December,30
3135,2024-06-02 00:00:00,Uber Green,Cash,1,11,Upper West Side North,$34.0,1.0,1899,Qtr 4,December,30
3136,2024-06-02 00:00:00,Uber Comfort,Uber Pay,1,1.75,Kips Bay,$9.5,1.0,1899,Qtr 4,December,30
3137,2024-06-02 00:00:00,Uber Black,Cash,1,8.51,Flatiron,$24.5,1.0,1899,Qtr 4,December,30
3138,2024-06-02 00:00:00,Uber Black,Uber Pay,1,3.84,Fort Greene,$18.5,1.0,1899,Qtr 4,December,30
3139,2024-06-02 00:00:00,Uber Black,Cash,1,6.64,Murray Hill,$21.0,1.0,1899,Qtr 4,December,30
3140,2024-06-02 00:00:00,UberX,Uber Pay,1,9.3,Eastchester,$30.0,1.0,1899,Qtr 4,December,30
3141,2024-06-02 00:00:00,Uber Green,Uber Pay,1,2.63,Schuylerville/Edgewater Park,$11.0,1.0,1899,Qtr 4,December,30
3143,2024-06-02 00:00:00,Uber Green,Amazon Pay,2,3.4,Penn Station/Madison Sq West,$14.0,1.0,1899,Qtr 4,December,30
3146,2024-06-02 00:00:00,Uber Green,Uber Pay,1,18.1,Gramercy,$50.5,1.0,1899,Qtr 4,December,30
3147,2024-06-02 00:00:00,Uber Black,Uber Pay,1,7.95,Yorkville East,$31.2,1.0,1899,Qtr 4,December,30
3148,2024-06-02 00:00:00,UberXL,Cash,1,8.38,Rego Park,$24.5,1.0,1899,Qtr 4,December,30
3150,2024-06-02 00:00:00,UberX,Cash,1,1.83,Central Harlem,$7.5,1.0,1899,Qtr 4,December,30
3151,2024-06-02 00:00:00,UberX,Uber Pay,1,3.24,Lenox Hill East,$14.0,1.0,1899,Qtr 4,December,30
3152,2024-06-02 00:00:00,Uber Black,Cash,4,2.11,Hudson Sq,$8.5,1.0,1899,Qtr 4,December,30
3153,2024-06-02 00:00:00,Uber Comfort,Uber Pay,1,4.6,Upper West Side North,$16.5,1.0,1899,Qtr 4,December,30
3154,2024-06-02 00:00:00,UberX,Uber Pay,1,1.6,Penn Station/Madison Sq West,$8.6,1.0,1899,Qtr 4,December,30
3155,2024-06-02 00:00:00,UberXL,Cash,1,2.9,Long Island City/Queens Plaza,$12.0,1.0,1899,Qtr 4,December,30
3156,2024-06-02 00:00:00,Uber Black,Cash,2,1.34,Hamilton Heights,$8.0,1.0,1899,Qtr 4,December,30
3157,2024-06-02 00:00:00,UberXL,Cash,1,1.8,Murray Hill,$7.5,1.0,1899,Qtr 4,December,30
3158,2024-06-02 00:00:00,UberX,Uber Pay,1,1.6,Penn Station/Madison Sq West,$9.2,1.0,1899,Qtr 4,December,30
3159,2024-06-02 00:00:00,Uber Black,Cash,1,2.7,Clinton East,$10.0,1.0,1899,Qtr 4,December,30
3160,2024-06-02 00:00:00,Uber Black,Cash,5,5.93,Yorkville East,$17.5,1.0,1899,Qtr 4,December,30
3161,2024-06-02 00:00:00,Uber Comfort,Cash,6,1.66,Clinton East,$7.0,1.0,1899,Qtr 4,December,30
3162,2024-06-02 00:00:00,UberX,Cash,1,2.2,East Chelsea,$9.5,1.0,1899,Qtr 4,December,30
3163,2024-06-02 00:00:00,UberXL,Uber Pay,1,1.5,Penn Station/Madison Sq West,$9.2,1.0,1899,Qtr 4,December,30
3164,2024-06-02 00:00:00,UberX,Uber Pay,1,8.26,West Chelsea/Hudson Yards,$31.4,1.0,1899,Qtr 4,December,30
3165,2024-06-02 00:00:00,UberX,Uber Pay,1,2.98,Lincoln Square West,$14.6,1.0,1899,Qtr 4,December,30
3166,2024-06-02 00:00:00,UberX,Cash,1,2.49,Upper West Side North,$10.0,1.0,1899,Qtr 4,December,30
3167,2024-06-02 00:00:00,Uber Comfort,Uber Pay,1,1.52,Clinton East,$9.6,1.0,1899,Qtr 4,December,30
3168,2024-06-02 00:00:00,UberX,Uber Pay,2,1.55,Lenox Hill East,$9.2,1.0,1899,Qtr 4,December,30
3169,2024-06-02 00:00:00,Uber Comfort,Cash,2,4.87,Clinton East,$16.5,1.0,1899,Qtr 4,December,30
3170,2024-06-02 00:00:00,UberX,Cash,1,3.03,East Harlem South,$10.5,1.0,1899,Qtr 4,December,30
3171,2024-06-02 00:00:00,UberXL,Cash,1,4.7,Penn Station/Madison Sq West,$17.5,1.0,1899,Qtr 4,December,30
3172,2024-06-02 00:00:00,Uber Comfort,Cash,1,4.7,Astoria,$16.5,1.0,1899,Qtr 4,December,30
3174,2024-06-02 00:00:00,UberX,Uber Pay,1,3.7,Midtown East,$15.8,1.0,1899,Qtr 4,December,30
3175,2024-06-02 00:00:00,UberX,Cash,1,2.95,Upper West Side North,$13.0,1.0,1899,Qtr 4,December,30
